Dataset,Transform,Sample_Index,Sample_ID,Actual_Stiffness,Original_Ensemble_Prediction,Transformed_Ensemble_Prediction,Signed_Prediction_Change,Absolute_Prediction_Change,Relative_Prediction_Change_Percent,Original_Member_Std,Transformed_Member_Std,Original_Absolute_Error,Transformed_Absolute_Error,Numerically_Unchanged_At_1e_8
Test,mirror_y,28,randomness_0.5596,0.02113732509315014,0.021663343533873558,0.02174677699804306,8.343346416950226e-05,8.343346416950226e-05,0.38513659740031725,0.0008512705996039576,0.0004905949397769014,0.0005260184407234192,0.0006094519048929214,False
Test,mirror_y,29,randomness_0.2653,0.03422939032316208,0.035274706035852435,0.035143230110406876,-0.00013147592544555942,0.00013147592544555942,0.37272011653883147,0.000698968994951333,0.0006759260249869076,0.0010453157126903562,0.0009138397872447968,False
Test,mirror_y,30,randomness_0.1361,0.03697212412953377,0.03815213963389397,0.03827034011483192,0.00011820048093795499,0.00011820048093795499,0.30981350475281577,0.0003634936152391873,0.0005248417918696475,0.001180015504360199,0.001298215985298154,False
Test,mirror_y,31,randomness_0.7618,0.01672402210533619,0.0158477121964097,0.01576776783913374,-7.994435727596075e-05,7.994435727596075e-05,0.5044536163022455,0.0007347028652018808,0.0008801138436110744,0.0008763099089264884,0.0009562542662024491,False
Test,mirror_y,32,randomness_0.0300,0.04144977033138275,0.03898252472281456,0.03894166648387909,-4.085823893547336e-05,4.085823893547336e-05,0.10481167965901662,0.00030690733153364877,0.0002563979048096464,0.0024672456085681888,0.002508103847503662,False
Test,mirror_y,33,randomness_0.2893,0.025877267122268677,0.030227553471922873,0.030004654079675674,-0.00022289939224719862,0.00022289939224719862,0.7374046743618886,0.0004754190846135676,0.000432031991750536,0.004350286349654196,0.004127386957406998,False
Test,mirror_y,34,randomness_0.6436,0.02099030651152134,0.01880144365131855,0.018030696362257004,-0.0007707472890615442,0.0007707472890615442,4.099404829519523,0.0004400723645116956,0.0005542833281805644,0.0021888628602027907,0.002959610149264335,False
Test,mirror_y,35,randomness_0.6356,0.015841074287891388,0.01852170117199421,0.018259520083665846,-0.0002621810883283622,0.0002621810883283622,1.4155345985432153,0.0006417010137088428,0.0008632242337066012,0.0026806268841028207,0.0024184457957744585,False
Test,mirror_y,36,randomness_0.0551,0.03732594847679138,0.03796341717243194,0.03772932440042496,-0.00023409277200698436,0.00023409277200698436,0.6166272412826327,0.00043705074898659066,0.00046907827973454824,0.0006374686956405612,0.00040337592363357683,False
Test,mirror_y,37,randomness_0.2152,0.03537635877728462,0.03190508782863617,0.03188851997256279,-1.6567856073380904e-05,1.6567856073380904e-05,0.051928570647940826,0.0008870370007945303,0.0006712590851878292,0.00347127094864845,0.003487838804721831,False
