Dataset,Feature,Feature_Bin,Count,Feature_Min,Feature_Max,MAE,RMSE,Bias,Mean_Ensemble_Std
Test,Mean_Weighted_Degree,2,97,4.266666889190674,4.545454502105713,0.002913273523863925,0.003548040645051603,-0.00015178006089271347,0.0004626963460789954
Test,Mean_Weighted_Degree,3,108,4.561983585357666,4.809917449951172,0.0022447264357309737,0.0027932152986687264,-8.417208086768915e-05,0.0004046452057027421
Test,Mean_Weighted_Degree,4,114,4.826446056365967,4.909090995788574,0.0019900645887781306,0.0024988737139307205,-0.0001521869854827661,0.00039805143682861957
Test,Mean_Weighted_Degree,5,76,4.925619602203369,5.057851314544678,0.0017152995010654404,0.0021349807572833006,0.00034740888911928694,0.0003902404239356242
Test,Std_Weighted_Degree,1,101,1.147339940071106,1.2735320329666138,0.002130133748194078,0.0026080599414402355,0.00031562683345567487,0.0004065692840527774
Test,Std_Weighted_Degree,2,99,1.2738001346588135,1.321642518043518,0.002145263911229722,0.002625601080407032,0.000335865006901378,0.00044699694632861087
Test,Std_Weighted_Degree,3,100,1.3216538429260254,1.3542124032974243,0.0021279439893372837,0.002658507883228474,0.00023633193477177927,0.0004228806133000461
Test,Std_Weighted_Degree,4,100,1.3545149564743042,1.3972563743591309,0.0025464961844808504,0.003235690670212148,0.0001267170806033516,0.0004283727658542811
Test,Std_Weighted_Degree,5,100,1.3975176811218262,1.6235830783843994,0.0026270388771066217,0.003239980402689339,-0.00038499483493465683,0.00050459723595286
Test,Mean_Center_Distance,1,100,134.23974609375,135.83340454101562,0.0024087874870759368,0.0030534483787030007,-0.00013543936671368557,0.0004878024279508976
Test,Mean_Center_Distance,2,100,135.83807373046875,135.99066162109375,0.002089839225668409,0.002488629508110056,0.00040703528721534226,0.0004039085895096737
Test,Mean_Center_Distance,3,100,135.99269104003906,136.1613311767578,0.0023233139712828636,0.0029729459000388497,0.0003330436182667063,0.0003817848751596218
Test,Mean_Center_Distance,4,101,136.16250610351562,136.512939453125,0.002073130435298017,0.002642874962620056,-7.41048582001894e-06,0.00046487912154650514
Test,Mean_Center_Distance,5,99,136.530029296875,138.7244110107422,0.0026878009949898923,0.003228628853794914,3.251382926558182e-05,0.0004706957206905595
Test,Std_Center_Distance,1,102,48.783287048339844,50.62693405151367,0.002477888979491373,0.003006990242188803,-0.00016841074785386892,0.00043162075615075645
Test,Std_Center_Distance,2,98,50.64304733276367,50.818058013916016,0.0023127971278292772,0.0027526254673791856,0.000489866671882966,0.0004274806030392239
Test,Std_Center_Distance,3,101,50.81806945800781,50.94279098510742,0.0020441398458769648,0.0026129373983134006,0.00038653845227394417,0.0004000368080119497
Test,Std_Center_Distance,4,99,50.94777297973633,51.23321533203125,0.002197084509356841,0.0027942295489366753,-0.0003038796117020972,0.0004622467613259946
Test,Std_Center_Distance,5,100,51.23442077636719,52.646087646484375,0.0025430425557653002,0.003233585461739389,0.00023149024221710216,0.0004881669368088024
