Sample_ID,Randomness_Value,Actual_Stiffness,Node_Count,Edge_Count,Graph_Density,Total_Edge_Weight,Mean_Edge_Weight,Std_Edge_Weight,Mean_Degree,Std_Degree,Mean_Weighted_Degree,Std_Weighted_Degree,Mean_Center_Distance,Std_Center_Distance
randomness_0.5686,0.5686,0.0255786359884074,120.0,280.0,0.0392156862745098,280.0,1.0,0.0,4.666666507720947,1.3249738216400146,4.666666507720947,1.3249738216400146,135.8154296875,50.70600891113281
randomness_0.5696,0.5696,0.0251608455655514,120.0,278.0,0.03893557422969188,278.0,1.0,0.0,4.633333206176758,1.3349989652633667,4.633333206176758,1.3349989652633667,135.9047088623047,50.243099212646484
randomness_0.5706,0.5706,0.0195049798680657,121.0,275.0,0.03787878787878788,275.0,1.0,0.0,4.545454502105713,1.4258533716201782,4.545454502105713,1.4258533716201782,135.8245391845703,51.1663818359375
randomness_0.5716,0.5716,0.030594193804088,121.0,282.0,0.03884297520661157,282.0,1.0,0.0,4.661157131195068,1.4290591478347778,4.661157131195068,1.4290591478347778,136.63247680664062,50.43754959106445
randomness_0.5726,0.5726,0.0258988168794846,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.30479097366333,4.7272725105285645,1.30479097366333,136.56312561035156,50.978309631347656
randomness_0.5736,0.5736,0.0131832725050497,121.0,263.0,0.03622589531680441,263.0,1.0,0.0,4.347107410430908,1.4414795637130737,4.347107410430908,1.4414795637130737,135.3173828125,52.140472412109375
randomness_0.5746,0.5746,0.0265824442161416,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.3545149564743042,4.7272725105285645,1.3545149564743042,135.73399353027344,51.33470153808594
randomness_0.5756,0.5756,0.0264955936474344,121.0,277.0,0.03815426997245179,277.0,1.0,0.0,4.578512191772461,1.3468793630599976,4.578512191772461,1.3468793630599976,136.11563110351562,50.99034118652344
randomness_0.5766,0.5766,0.028546482909059,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.336085319519043,4.7272725105285645,1.336085319519043,136.33929443359375,51.37113952636719
randomness_0.5776,0.5776,0.0215347942523823,121.0,277.0,0.03815426997245179,277.0,1.0,0.0,4.578512191772461,1.4244157075881958,4.578512191772461,1.4244157075881958,135.8697509765625,50.465049743652344
randomness_0.5786,0.5786,0.0206934023902739,121.0,276.0,0.03801652892561983,276.0,1.0,0.0,4.561983585357666,1.3477411270141602,4.561983585357666,1.3477411270141602,135.91677856445312,51.11381149291992
randomness_0.5796,0.5796,0.0264677384686422,121.0,275.0,0.03787878787878788,275.0,1.0,0.0,4.545454502105713,1.3606027364730835,4.545454502105713,1.3606027364730835,135.88856506347656,49.606658935546875
randomness_0.5806,0.5806,0.023485098592937,121.0,280.0,0.03856749311294766,280.0,1.0,0.0,4.628098964691162,1.3056281805038452,4.628098964691162,1.3056281805038452,136.8389434814453,50.94713592529297
randomness_0.5816,0.5816,0.0215422524338713,121.0,280.0,0.03856749311294766,280.0,1.0,0.0,4.628098964691162,1.220569133758545,4.628098964691162,1.220569133758545,136.11090087890625,51.659423828125
randomness_0.5826,0.5826,0.0252119764685631,121.0,278.0,0.03829201101928375,278.0,1.0,0.0,4.595041275024414,1.382168173789978,4.595041275024414,1.382168173789978,135.55685424804688,50.774513244628906
randomness_0.5836,0.5836,0.0247964336003466,121.0,273.0,0.03760330578512397,273.0,1.0,0.0,4.512396812438965,1.505448579788208,4.512396812438965,1.505448579788208,136.54180908203125,51.10252380371094
randomness_0.5846,0.5846,0.025507585983343,121.0,286.0,0.03939393939393939,286.0,1.0,0.0,4.7272725105285645,1.206045389175415,4.7272725105285645,1.206045389175415,136.17105102539062,51.224700927734375
randomness_0.5856,0.5856,0.0308895876631141,121.0,292.0,0.04022038567493113,292.0,1.0,0.0,4.826446056365967,1.3647128343582153,4.826446056365967,1.3647128343582153,137.03604125976562,51.34931182861328
randomness_0.5866,0.5866,0.0129665419459343,121.0,275.0,0.03787878787878788,275.0,1.0,0.0,4.545454502105713,1.3666633367538452,4.545454502105713,1.3666633367538452,136.13821411132812,51.422298431396484
randomness_0.5876,0.5876,0.0249370137695223,121.0,283.0,0.03898071625344353,283.0,1.0,0.0,4.677685737609863,1.4557658433914185,4.677685737609863,1.4557658433914185,136.61114501953125,50.5947265625
randomness_0.5886,0.5886,0.0241739288926696,121.0,273.0,0.03760330578512397,273.0,1.0,0.0,4.512396812438965,1.3733935356140137,4.512396812438965,1.3733935356140137,137.1043701171875,49.993526458740234
randomness_0.5896,0.5896,0.0256451515835689,121.0,280.0,0.03856749311294766,280.0,1.0,0.0,4.628098964691162,1.4032561779022217,4.628098964691162,1.4032561779022217,136.87246704101562,50.891693115234375
randomness_0.5906,0.5906,0.0176695778467226,121.0,281.0,0.03870523415977961,281.0,1.0,0.0,4.644628047943115,1.2975469827651978,4.644628047943115,1.2975469827651978,136.13336181640625,50.21124267578125
