Dataset,Sample_ID,Control_Absolute_Error,Adapted_Absolute_Error,Absolute_Error_Reduction,Adapted_Improved
Train,randomness_0.4004,0.0013333857,0.0006968342,0.00063655153,True
Train,randomness_0.7728,0.0026404066,0.0019470891,0.0006933175,True
Train,randomness_0.6717,0.005704323,0.00611745,-0.00041312724,False
Train,randomness_0.7237,0.0015411507,0.002481278,-0.0009401273,False
Train,randomness_0.7898,0.0026369337,0.0022189189,0.00041801482,True
Train,randomness_0.7508,0.004595273,0.0038106963,0.00078457687,True
Train,randomness_0.3584,0.0002969727,1.5348196e-06,0.00029543787,True
Train,randomness_0.7107,0.00035673007,0.00047369115,-0.00011696108,False
Train,randomness_0.3944,0.0005165152,1.6827136e-05,0.0004996881,True
Train,randomness_0.5145,0.00174262,0.001220515,0.000522105,True
Train,randomness_0.2382,0.00010295212,0.00014949962,-4.6547502e-05,False
Train,randomness_0.8108,0.0026126099,0.0022317418,0.0003808681,True
Train,randomness_0.8969,0.0007953717,0.00048493582,0.0003104359,True
Train,randomness_0.6507,0.00016731396,0.0008158777,-0.0006485637,False
Train,randomness_0.5886,0.0034551024,0.0027657524,0.00068935007,True
Train,randomness_0.2352,0.0018693432,0.0016722046,0.00019713864,True
Train,randomness_0.2342,0.0045850202,0.0043551847,0.00022983551,True
Train,randomness_0.7518,0.007864779,0.0073369425,0.0005278364,True
Train,randomness_0.9339,0.0021406086,0.0012250245,0.00091558415,True
Train,randomness_0.7668,9.92883e-06,0.0007020142,-0.00069208536,False
Train,randomness_0.4484,0.004183531,0.0036376026,0.00054592825,True
Train,randomness_0.5636,0.0018393733,0.0012659244,0.00057344884,True
Train,randomness_0.4244,0.0026990902,0.0032996554,-0.0006005652,False
Train,randomness_0.2763,0.000678014,0.00035933405,0.00031867996,True
Train,randomness_0.2002,0.0009699911,0.000909213,6.077811e-05,True
Train,randomness_0.8659,0.0024607936,0.002659684,-0.00019889046,False
Train,randomness_0.7087,0.0026467815,0.0034057377,-0.0007589562,False
Train,randomness_0.2282,0.00047345832,0.00040784106,6.561726e-05,True
Train,randomness_0.9600,0.008049123,0.0075286203,0.0005205027,True
Train,randomness_0.2873,0.0012164004,0.00084070116,0.00037569925,True
Train,randomness_0.7097,0.0012689959,0.0005407892,0.0007282067,True
Train,randomness_0.3754,0.0001905784,0.00038883835,-0.00019825995,False
Train,randomness_0.3904,0.0054223016,0.004915785,0.00050651655,True
Train,randomness_0.5005,0.00067460164,0.001294883,-0.0006202813,False
Train,randomness_0.1992,0.0022948794,0.0022598319,3.504753e-05,True
Train,randomness_0.2733,0.0011734702,0.0010058545,0.00016761571,True
Train,randomness_0.2923,0.0006095432,0.00086545944,-0.00025591627,False
Train,randomness_0.5385,0.000322083,0.0012311935,-0.00090911053,False
Train,randomness_0.3423,0.004061384,0.0044158194,-0.0003544353,False
Train,randomness_0.5155,0.0035407115,0.0031331237,0.00040758774,True
Train,randomness_0.8959,0.001901945,0.0011462923,0.00075565267,True
Train,randomness_0.2082,0.0016696677,0.0017886683,-0.00011900067,False
Train,randomness_0.7377,0.00056534633,0.0013503134,-0.0007849671,False
Train,randomness_0.5025,0.0018557906,0.0028665438,-0.0010107532,False
Train,randomness_0.8068,0.0012017991,0.0008380478,0.00036375131,True
Train,randomness_0.7948,0.0028904248,0.0022880863,0.00060233846,True
Train,randomness_0.9179,0.0028314202,0.002495507,0.00033591315,True
Train,randomness_0.3103,0.0008296259,0.0011601523,-0.00033052638,False
Train,randomness_0.7417,0.0012195148,0.0016445443,-0.00042502955,False
Train,randomness_0.9199,0.00031669252,0.0010287187,-0.00071202614,False
Train,randomness_0.7778,0.0010767952,0.0019307602,-0.00085396506,False
Train,randomness_0.9229,0.0009307917,0.0015165042,-0.0005857125,False
Train,randomness_0.7247,0.002478796,0.0028924718,-0.0004136758,False
Train,randomness_0.8539,0.0011185547,0.00075191073,0.000366644,True
Train,randomness_0.7858,0.00087659154,0.0014064163,-0.00052982476,False
Train,randomness_0.4865,0.0027642846,0.0033029448,-0.0005386602,False
Train,randomness_0.9730,0.0022066087,0.002979843,-0.0007732343,False
Train,randomness_0.6096,0.003843626,0.004344862,-0.00050123595,False
Train,randomness_0.3634,0.0020303521,0.002472274,-0.00044192187,False
Train,randomness_0.8549,0.0011751163,0.001596021,-0.00042090472,False
Train,randomness_0.5415,0.0038599875,0.003314592,0.00054539554,True
Train,randomness_0.5966,0.0031681685,0.0027921284,0.00037604012,True
Train,randomness_0.1882,0.0039319657,0.0040485784,-0.00011661276,False
Train,randomness_0.3263,0.0027908832,0.0030148067,-0.00022392347,False
Train,randomness_0.8809,0.0046508694,0.003978013,0.00067285635,True
Train,randomness_0.7077,0.0003489852,0.0010153502,-0.000666365,False
Train,randomness_0.7718,0.0015331372,0.0022308868,-0.00069774967,False
Train,randomness_0.4735,0.002065247,0.0017579347,0.00030731224,True
Train,randomness_0.9820,0.0022316603,0.0014301501,0.0008015102,True
Train,randomness_0.8579,0.0026007956,0.003143522,-0.00054272637,False
Train,randomness_0.3273,0.0024074055,0.0020227619,0.00038464367,True
Train,randomness_0.8078,0.0010470785,0.0015460867,-0.0004990082,False
Train,randomness_0.7768,0.00012818445,0.0008315109,-0.0007033264,False
Train,randomness_0.4164,0.0014276709,0.0017983858,-0.0003707148,False
Train,randomness_0.7487,0.002902137,0.0021733632,0.0007287739,True
Train,randomness_0.5105,0.0029775277,0.0021302197,0.00084730797,True
Train,randomness_0.9740,0.0017055031,0.0011153184,0.0005901847,True
Train,randomness_0.4585,0.0006591007,0.0012391675,-0.0005800668,False
Train,randomness_0.3544,0.00022767112,0.00017849356,4.9177557e-05,True
Train,randomness_0.7277,0.0011849357,0.0019378997,-0.00075296406,False
Train,randomness_0.7327,0.0056906566,0.0057998123,-0.00010915566,False
Train,randomness_0.3784,0.006077394,0.0055521317,0.0005252622,True
Train,randomness_0.4765,0.0040619913,0.003634328,0.00042766333,True
Train,randomness_0.4845,0.0012735706,0.0008273721,0.0004461985,True
Train,randomness_0.3163,0.002555143,0.002102051,0.00045309216,True
Train,randomness_0.9550,0.0014106224,0.0019401538,-0.0005295314,False
Train,randomness_0.8368,0.0017015608,0.0007057404,0.0009958204,True
Train,randomness_0.5726,0.0012358669,0.001837112,-0.0006012451,False
Train,randomness_0.4474,0.0017650574,0.0013249181,0.00044013932,True
Train,randomness_0.6056,0.00769384,0.007134065,0.00055977516,True
Train,randomness_0.7397,0.0016247593,0.0023357524,-0.0007109931,False
Train,randomness_0.9880,0.006322497,0.007057804,-0.0007353071,False
Train,randomness_0.9499,0.0021601464,0.0015049623,0.00065518403,True
Train,randomness_0.9109,0.0005826077,0.0013067222,-0.0007241145,False
Train,randomness_0.7197,0.0070522022,0.006401882,0.0006503202,True
Train,randomness_0.8679,0.0009572664,0.0021039331,-0.0011466667,False
Train,randomness_0.7457,0.0043619955,0.0049652727,-0.00060327724,False
Train,randomness_0.8609,0.0033738962,0.002430325,0.00094357133,True
Train,randomness_0.6567,0.0033600964,0.004030563,-0.0006704666,False
Train,randomness_0.9590,0.0014424026,0.00208636,-0.0006439574,False
Train,randomness_0.6777,0.0058425665,0.0054520024,0.0003905641,True
Train,randomness_0.1562,0.0010614768,0.0010128692,4.8607588e-05,True
Train,randomness_0.3383,2.9724091e-05,0.00043650344,-0.00040677935,False
Train,randomness_0.7988,0.0009867847,0.0018587364,-0.0008719517,False
Train,randomness_0.2482,0.0014437027,0.0016574487,-0.00021374598,False
